"","ECOREGION","Sites","Average_Duration","First_Year","Last_Year","Standard_Deviation","se","LCI","UCI"
"1","Agulhas Bank",4,2.25,1992,1995,0.5,0.25,1.76000900386499,2.73999099613501
"2","Aleutian Islands",147,17.8163265306122,1987,2010,5.970269272011,0.492419510190014,16.851202025355,18.7814510358695
"3","Araucanian",2,1,2012,2013,0,0,1,1
"4","Bassian",121,10.5619834710744,1992,2012,6.17237469426405,0.561124972205822,9.46219873472493,11.6617682074238
"5","Cape Howe",63,10.9206349206349,1992,2011,4.92295999112777,0.620234659564039,9.70499732592594,12.1362725153439
"6","Celtic Seas",245,0.644897959183673,1982,2013,2.46292685611275,0.157350624967941,0.33649640130164,0.953299517065707
"7","Central Chile",7,1.28571428571429,2004,2013,0.755928946018454,0.285714285714286,0.725724575845699,1.84570399558287
"8","Chiloense",1,0,2012,2012,NA,NA,NA,NA
"9","East Greenland Shelf",1,2,1999,2001,NA,NA,NA,NA
"10","Gulf of Alaska",5,8.6,1990,2012,0.547722557505166,0.244948974278318,8.11990883236447,9.08009116763553
"11","Houtman",29,7.13793103448276,1979,2011,2.3410031111689,0.434713364402039,6.28590849665653,7.98995357230899
"12","Humboldtian",3,4.66666666666667,1996,2007,2.88675134594813,1.66666666666667,1.40006002576658,7.93327330756676
"13","Leeuwin",3,5,2006,2011,0,0,5,5
"14","Manning-Hawkesbury",7,3.71428571428571,1985,2005,5.46852465522118,2.06690803944864,-0.336779602389909,7.76535103096134
"15","Namaqua",9,5.55555555555556,1995,2006,4.09606857581484,1.36535619193828,2.87950659328777,8.23160451782334
"16","North American Pacific Fijordland",9,5.11111111111111,1976,2013,6.33333333333334,2.11111111111111,0.973409365970995,9.24881285625123
"17","North Sea",33,16.0606060606061,1975,2013,10.9485712365227,1.90590161691785,12.3251075333704,19.7961045878417
"18","Northeastern Honshu",2,4.5,1988,2001,3.53553390593274,2.5,-0.399909961350135,9.39990996135013
"19","Northern Grand Banks - Southern Labrador",1,4,1979,1983,NA,NA,NA,NA
"20","Puget Trough/Georgia Basin",2,1,1996,1997,0,0,1,1
"21","Scotian Shelf",31,12.4838709677419,1952,2014,12.9018628312399,2.31724297051286,7.94215820210812,17.0255837333758
"22","Sea of Japan/East Sea",1,2,1994,1996,NA,NA,NA,NA
"23","South Australian Gulfs",22,6.54545454545455,1968,2012,10.9489172012025,2.33431699061464,1.97027731534993,11.1206317755592
"24","South European Atlantic Shelf",8,6.25,2004,2013,0.707106781186548,0.25,5.76000900386499,6.73999099613501
"25","Southern California Bight",177,6.22033898305085,1983,2014,6.47390161781632,0.486608243671272,5.26660435087486,7.17407361522683
"26","Southern Norway",11,15.6363636363636,1976,2012,8.80082640747705,2.6535490035139,10.4355031582643,20.837224114463
"27","Virginian",1,2,1985,1987,NA,NA,NA,NA
"28","Western Bassian",4,3.25,2005,2012,2.5,1.25,0.800045019324933,5.69995498067507
"29","Beaufort Sea",4,3.5,2003,2007,0.577350269189626,0.288675134594813,2.93420713296191,4.06579286703809
"30","Gulf of Maine",25,10.28,1978,2014,10.8494239478417,2.16988478956833,6.0271039618448,14.5328960381552
"31","Oregon, Washington, Vancouver Is.",26,9.30769230769231,1987,2011,9.26830828477012,1.81766480007833,5.74513476357259,12.870249851812
"32","Northern and Central California",116,9.47413793103448,1973,2012,7.12675449872924,0.661702543373176,8.1772247775445,10.7710510845245
"33","Gulf of St. Lawrence",4,2,2000,2002,0,0,2,2
"34","NE New Zealand",13,11.0769230769231,1999,2011,2.17797836159815,0.604062512276397,9.89298230845055,12.2608638453956
